eng,french
i thought you would say that,Je pensais que tu dirais ça
it was nowhere to be seen,Cétait introuvable
he was wet all over,Il était trempé des pieds à la tête
tom seemed depressed,Tom avait lair déprimé
if the phone rings again i plan to ignore it,Si le téléphone sonne encore mon intention est de lignorer
i didnt know that you needed to do that,Je ne savais pas que tu avais besoin de faire ça
few students could understand what he said,Peu détudiants pourraient comprendre ce quil dit
the novel is worthy of praise,Le roman mérite des éloges
i came with my friends,Je suis venue avec mes amies
im going to flunk,Je vais me planter
he is a student at yushu high school,Il est étudiant au lycée Yushu
my son always gets sick when he rides a bus,Mon fils est toujours malade quand il prend le bus
are you blushing,Rougissezvous
i think you need some sleep,Je pense que tu as besoin de sommeil
he whispered sweet nothings into her ear,Il murmura de doux mots à son oreille
youre too skinny,Tu es trop maigrichon
i cant tell you how much ive been looking forward to your visit,Je ne peux pas vous dire combien jattendais votre visite avec impatience
youre a problem,Tu es un problème
i know the feeling,Je connais ce sentiment
hes starting to feel desperate,Il commence à se sentir désespéré
its personal,Cest personnel
my shifts over,Mon service est terminé
its cooler here,Il fait plus frais ici
i know you didnt really want to come on this trip,Je sais que tu ne voulais pas vraiment te joindre à ce voyage
where is the toilet,Où se trouvent les toilettes
tom asked his boss if he could go home early,Tom a demandé à son patron sil pouvait rentrer chez lui plus tôt
id like to go abroad one day,Je voudrais bien un jour me rendre à létranger
all the kids at school made fun of me because i was fat,Tous les gamins à lécole se sont moqués de moi car jétais gros
be nice,Soyez gentilles
she was about to call him up when he walked in the door,Elle était sur le point de lappeler lorsquil entra par la porte
he whispered something to me,Il ma chuchoté quelque chose
you should be careful in choosing friends,Tu devrais être prudent dans le choix de tes amis
look what i made for tom,Regardez ce que jai fait pour Tom
some people dont go to a doctor because they cant afford to,Certaines personnes ne vont pas chez le médecin car ils ne peuvent pas se le permettre
he lost sight of that bird,Il a perdu de vue cet oiseau
do you have a moment to talk about jesus,Astu un moment pour parler de Jésus
they danced for hours,Ils ont dansé pendant des heures
theyre in the science lab,Ils sont dans le laboratoire de sciences
she spent the weekend by herself,Elle a passé le weekend seule
i wont be here that long,Je ne serai pas ici aussi longtemps
im not a good loser,Je suis un mauvais perdant
these politicians are corrupt,Ces politiciens sont corrompus
tom talked,Tom a parlé
tom also likes bananas,Tom aime aussi les bananes
a young man is singing in front of the door,Un jeune homme chante devant la porte
would you like to go with me,Aimeriezvous y aller avec moi
tom and mary arent home yet,Tom et Marie ne sont pas encore à la maison
you cant live on that island,Il est impossible de vivre sur cette île
im busy all the time,Je suis toujours occupé
i want to go abroad next year,Je veux aller à létranger lannée prochaine
i wish tom was here,Jaimerais que Tom soit là
its gradually getting colder,Il fait de plus en plus froid
tom fought well,Tom sest bien battu
youre articulate,Tu texprimes bien
it worked,Ça a marché
i ate breakfast in my pajamas,Je petitdéjeunais en pyjama
are you a lawyer,Êtesvous avocat
a woman was kind enough to show me the way,Une femme a été assez bonne pour mindiquer le chemin
i had to resort to threats to get my money back,Jai dû recourir à des menaces pour récupérer mon argent
ill treasure it,Jy serai très attaché
did you give him up,Astu perdu espoir pour lui
we lost,Nous fûmes défaits
it is worthwhile to read this book,Cela vaut le coup de lire ce livre
its sprinkling outside,Il y a du crachin dehors
was it you that left the door open last night,Étaitce toi qui as laissé la porte ouverte hier soir
are you ready to go,Êtesvous prête à partir
i suppose thats why you dont like me so much,Je suppose que cest là la raison pour laquelle vous ne mappréciez pas tant que ça
they agreed to elect him as president,Ils saccordèrent pour lélire président
i can follow the rules,Je peux suivre les règles
is there any adverse reaction,Y atil des réactions de la partie adverse
i dont understand modern art,Je ne comprends pas lart moderne
i didnt do it that way,Je ne lai pas fait comme ça
i was happy then,Jétais heureux alors
i doubt the truth of the report,Je doute de la véracité de ce rapport
its recommended that you dont write your passwords down where others might see them,Il est recommandé de ne pas écrire ses mots de passe là où dautres pourraient les voir
do you approve of what he is doing,Approuvezvous ce quil fait
the hole is big enough,Le trou est assez gros
i wasnt ready for what was about to happen,Je nétais pas prêt pour ce qui allait arriver
let me see whats in your hand,Laissezmoi voir ce que vous avez dans la main
you can always text tom,Vous pouvez toujours envoyer un message à Tom
do you really want to stay young forever,Veuxtu vraiment rester jeune pour léternité
i waited for her for a really long time,Je lai attendue pendant vraiment longtemps
i learned a new trick,Jai appris un nouveau tour
i received a letter from her,Jai reçu une lettre de sa part
im winning,Je gagne
it is pretty warm today,Il fait vraiment chaud aujourdhui
they questioned him,Ils lont questionné
they were ready to run the risk of being shot by the enemy,Ils étaient prêts à courir le risque de se faire tirer dessus par lennemi
you could be a little nicer to your brother,Tu pourrais être un peu plus gentil à légard de ton frère
i know that tom is still busy,Je sais que Tom est encore occupé
a lot of people do this,Beaucoup font cela
tom was too busy to help me,Tom était trop affairé pour maider
its sufficient,Cest suffisant
i didnt expect to see you here,Je ne mattendais pas à te voir ici
youre no different,Vous nêtes pas différentes
the airline sent my suitcase to boston by mistake,La compagnie aérienne a envoyé mes bagages à Boston par erreur
i like the original better than the remix,Je préfère loriginal au remixage
tom has a way with words,Tom est éloquent
he is an old friend of mine,Cest un vieil ami à moi
tom still has the book i lent him,Tom a toujours le livre que je lui ai prêté
i wish you two the best,Je souhaite le meilleur à vous deux
i need to rinse my mouth,Il faut que je me rince la bouche
theyre amateurs,Ce sont des amateurs
thousands of people were there,Des milliers de gens étaient là
everybody loves her,Tout le monde laime
have you ever kissed another girl,Avezvous déjà embrassé une autre fille
i hear the phone,Jentends le téléphone
tom saw them,Tom les voyait
can i have a hug,Puisje avoir un câlin
i dont like it either,Je ne laime pas non plus
she forgot to feed the dog,Elle oublia de nourrir le chien
i have two cats,Jai deux chats
is it a yes or a no,Cest oui ou cest non
tom was fairly nervous,Tom était assez nerveux
it would be interesting to see if we could do that,Ce serait intéressant de voir si nous pouvons faire ça
do you drive a manual or automatic,Estce que tu conduis une boîte manuelle ou automatique
are they friends,Sontils amis
they were even more interested in his beautiful wife,Ils ont été encore plus intéressés par sa belle épouse
i found her cat in an empty room,Je trouvai son chat dans une pièce vide
what is it you kids do,Que faitesvous les enfants
the next step was to sign the document,Létape suivante était de signer le document
are you trying to manipulate me,Essayezvous de me manipuler
we need action,Nous avons besoin daction
sushi is delicious,Le sushi est délicieux
believe me everything hes told you is a crock,Croismoi tout ce quil ta dit cest des conneries
automobiles replaced carriages,Les voitures ont remplacé les charrettes
we didnt get your letter until yesterday,Nous navions pas reçu ta lettre jusquà hier
thats all i can say at the moment,Cest tout ce que je peux dire pour le moment
you dont look very strong,Vous navez pas lair très forte
i want to do this later,Je veux faire ça plus tard
whats the emergency,Quelle est cette urgence
im going to miss your cooking,Ta cuisine me manquera
i dont want to be fired,Je ne veux pas être renvoyée
its nice of you to give me a lift,Cest sympa de ta part de me déposer
youve won,Vous avez gagné
parties bore me,Les fêtes mennuient
seriously,Vraiment
did you complete the prescribed treatment,Astu achevé le traitement prescrit
im very happy for you,Je suis très heureuse pour toi
how long do we have to do this,Combien de temps devonsnous faire ça
im looking for a present for a friend of mine,Je cherche un cadeau pour un ami à moi
it doesnt matter if you do that or not,Peu importe que tu fasses ça ou non
relax,Cool Raoul
the swelling has gone down,Lenflure a diminué
ive never trusted strangers,Je ne me suis jamais fiée à des étrangers
can we forget that this just happened,Pouvonsnous oublier que ça vient darriver
it looks like a wedding,Ça ressemble à un mariage
tom couldnt believe his ears,Tom nen croyait pas ses oreilles
he peddled his miracle cure to desperate cancer patients,Il fourguait son traitement miracle aux malades du cancer désespérés
i would like to kiss you,Je voudrais tembrasser
i want that job,Je veux ce boulot
snakes shed their skin every year,Les serpents perdent leur peau chaque année
im canadian,Je suis Canadienne
i gave careful consideration to the problem,Jai prêté grande attention à ce problème
please try again,Veuillez essayer de nouveau
nothing is happening,Rien ne se produit
the price is right,Le prix est exact
tom is the right man for the job,Tom est le bon choix pour ce travail
may i borrow your pencil,Puisje emprunter ton crayon
this chair is broken,Cette chaise est cassée
my mother is on a diet,Ma mère suit un régime
the cat ruined my sofa,Le chat détruisit mon canapé
you said i could talk to tom,Tu as dit que je pourrais parler à Tom
youd better hand that over,Vous feriez mieux de remettre ça
we didnt need to hurry,Nous navions pas besoin de nous dépêcher
my dream came true,Mon rêve sest réalisé
its dangerous to talk on the phone and drive at the same time,Il est dangereux de téléphoner au volant
lets do this properly,Faisons cela convenablement
we went to a hockey game,Nous sommes allés à une partie de hockey
i didnt spend anything,Je nai rien dépensé
i must brush up my english,Je dois renforcer mon niveau en anglais
tom eventually gave up,Tom a finalement abandonné
who told you to do that,Qui ta dit de faire ça
i felt a little dizzy,Je me sentis un peu prise de vertige
i didnt know you were that good at french,Jignorais que vous étiez aussi bon en français
its been snowing but the road is clear,Il a neigé mais la route est dégagée
help yourself to a piece of cake,Prends une part de gâteau
dogs bark,Les chiens aboient
tom agreed,Tom a accepté
what is the best advice youve ever been given,Quel est le meilleur conseil quon tait jamais donné
i didnt go to school yesterday,Je nai pas été à lécole hier
please make sure the drinking water is pure,Assurezvous que leau soit pure
i hope that will change soon,Jespère que cela changera bientôt
go get your helmet,Va chercher ton casque
were all being manipulated,Nous sommes toutes en train dêtre manipulées
do you know what that means,Savezvous ce que cela signifie
i became a director,Je suis devenu directeur
we cant live without water for even one day,Nous ne pouvons vivre sans eau même pour un jour
how much heroin or methadone do you usually use per day,Quelle quantité dhéroïne ou de méthadone consommestu habituellement par jour
were lawyers,Nous sommes avocats
nobody showed up today,Personne na montré son nez aujourdhui
tom didnt know hed hurt anybody,Tom ne savait pas quil ferait du mal à quelquun
the police recovered the stolen money,La police a récupéré largent volé
tom shouldnt have left so early,Tom naurait pas dû partir si tôt
youve got my sunglasses and i want them back,Tu as mes lunettes de soleil et je veux que tu me les rendes
he lives in a cozy little house,Il vit dans une confortable petite maison
i have to answer his letter,Je dois répondre à sa lettre
id like three pounds of chicken,Jaimerais trois livres de poulet
things break,Les choses se cassent
he fell into a deep slumber,Il est tombé dans un profond sommeil
my husband is canadian,Mon époux est Canadien
they were watching television,Ils étaient en train de regarder la télévision
maybe you should call the police,Peutêtre devraistu appeler la police
he made a lot of money,Il fit beaucoup dargent
you were watching werent you,Tu regardais nestce pas
i cant tell you how happy i am that youve come to visit us,Je ne peux pas te dire à quel point je suis heureux que vous soyez venues nous rendre visite
i dont think anybody can help me now,Je ne pense pas que quiconque puisse actuellement maider
thats not important for you to know,Il nimporte pas que vous le sachiez
doing that will take too long,Faire cela prendra trop de temps
you can trust him,Tu peux ty fier
are you free for dinner tonight,Estu libre pour souper ce soir
we cant get along without tom,Nous ne pouvons pas continuer sans Tom
tom was shocked,Tom était choqué
i dont have as much free time as you do,Je nai pas autant de temps libre que vous
he looks as if he were ill,Il a lair malade
everybody is very busy,Tout le monde est très occupé
do you want another piece of pie,Veuxtu une autre part de tarte
he likes his school a lot,Il aime beaucoup son école
i was the only one at the meeting who didnt think that was a good idea,Jétais le seul à la réunion qui ne pensait pas que cétait une bonne idée
you sound ticked off,Tu as lair agacé
i think you look hot,Je pense que tu as lair excitante
do you have any small change,Disposezvous de petite monnaie
you almost gave me a heart attack,Vous mavez presque causé une crise cardiaque
he told me to be here at noon,Il ma dit dêtre ici à midi
tom might win,Il se pourrait que Tom gagne
this should be plenty,Ça devrait être amplement suffisant
theres no free lunch,On ne rase pas gratis
what did you want to talk to me about,De quoi voulaistu me parler
is this vaccine effective,Ce vaccin estil efficace
the room was dark,La pièce était sombre
the truth is that nothing is totally true or false,La vérité cest que rien nest tout à fait vrai ni tout à fait faux
she demanded to see the manager,Elle a exigé de voir le directeur
photography is an expensive hobby,La photographie est un passetemps onéreux
tom said he agrees its a problem,Tom a dit quil convenait que cétait un problème
tom thought that mary wanted him to kiss her but he wasnt sure so he didnt,Tom pensait que Mary voulait quil lembrasse mais il nétait pas sûr donc il ne la pas fait
is there anything i can do for you,Puisje faire quoi que de soit pour toi
cash is better,De largent liquide cest mieux
tom isnt old enough to smoke,Tom est trop jeune pour fumer
obviously you volunteered,À lévidence vous vous êtes porté volontaire
even tom wasnt able to answer the teachers questions,Même Tom na pas put répondre aux questions du professeur
the train arrives at platform number 5,Le train arrive au quai numéro 5
the folder is empty,Le dossier est vide
it is not good to eat between meals,Il nest pas bon de manger entre les repas
youre not allowed in there,Tu ny es pas autorisée
i know that im a good teacher,Je sais que je suis un bon enseignant
he tried to behave as bravely as possible while he was being held hostage,Il essaya de se conduire le plus bravement possible tandis quil était pris en otage
have you sold it yet,Lavezvous déjà vendu
i wanted to do something nice for you,Je voulais faire quelque chose de chouette pour vous
im not understanding anything,Je ne comprends rien
i was puzzled about what to do next,Jétais désorienté quant à savoir quoi faire par la suite
the police stepped up their efforts to catch the rapist,La police a intensifié ses efforts pour mettre la main sur le violeur
i wont mention that again,Je ne le mentionnerai plus
that works,Ça fonctionne
how old is this church,De quand date cette église
i should be in bed,Je devrais être au lit
my grandfather sometimes talks to himself when hes alone,Mon grandpère se parle parfois à luimême lorsquil est seul
their marriage has been strained lately because of financial problems,Leur mariage a récemment souffert à cause de difficultés financières
dont try to keep her to yourself,Nessayez pas de la monopoliser pour vous seul
i cant go alone,Je ne peux my rendre seule
he had been there before,Il y avait été auparavant
he seemed to be ill,Il avait lair dêtre malade
i deserve this,Je le mérite
they wouldnt refund my ticket,Ils ne voulaient pas rembourser mon ticket
were going to be here all afternoon,Nous allons être ici toute laprèsmidi
i met my teacher on the way to the station,Jai rencontré mon professeur sur le chemin de la gare
i shouldnt be talking to you,Je ne devrais pas être en train de te parler
the pond is 100 meters in diameter,Létang fait 100 mètres de diamètre
you look content,Tu sembles satisfait
im sure she will turn up soon,Je suis certain quelle va bientôt surgir
tom will be in this evening,Tom rentrera ce soir
whats taking so long,Questce qui prend tellement de temps
who designed the white house,Qui a conçu la Maison Blanche
i really miss you all,Vous me manquez vraiment tous
someone stole my lunch,Quelquun a volé mon déjeuner
after i graduated from college i spent two years traveling around the world,Après avoir été diplômé de lécole je passai deux ans à voyager autour du monde
everything that tom said is true,Tout ce que Tom a dit est vrai
i thought you were dead,Je pensais que tu étais mort
she smells bad,Elle pue
i believe in my abilities,Jai foi en mes aptitudes
i intend to stay for a week,Jai lintention de rester une semaine
what do you know about all this,Que saistu de tout ceci
lets talk in my office,Parlons dans mon bureau
everybody likes you,Tout le monde tapprécie
just try it out,Faitesen simplement lexpérience
youre resilient,Vous êtes endurantes
hes getting used to the situation,Il shabitue à la situation
my father doesnt like music,Mon père naime pas la musique
i want you to do something about it right away,Je veux que tu y fasses quelque chose surlechamp
tom is in the other truck,Tom est dans lautre camion
its ok to be scared tom,Cest normal davoir peur Tom
forget about it,Oubliez ça
there are a lot of bad people in the world,Il y a beaucoup de mauvaises personnes dans le monde
he killed himself by taking poison,Il sest suicidé par ingestion de poison
im looking for an atm,Je cherche un distributeur de billets
i should have talked to you first about it,Jaurais dû ten parler en premier
have you ever ridden a horse,Êtesvous jamais montées à cheval
youre very observant,Vous êtes très observatrices
she passed the examination with ease,Elle a réussi lexamen avec facilité
i had a little difficulty in getting a taxi,Jai eu quelque difficulté à trouver un taxi
how come youre not dead,Comment se faitil que vous ne soyez pas mort
he jumped into the water,Il a sauté dans leau
i have never seen a red refrigerator,Je nai jamais vu de réfrigérateur rouge
according to the weather forecast the typhoon is approaching okinawa,Selon la météo le typhon sapproche dOkinawa
you should stop,Vous devriez y mettre un terme
its compact and lightweight,Cest compact et léger
toms father was a diplomat,Le père de Tom était diplomate
i sold my old guitar,Jai vendu ma vieille guitare
my house is only five minutes walk from the station,Ma maison est à seulement cinq minutes à pied de la gare
they have to repair their car,Elles doivent réparer leur véhicule
im so happy i feel like i could fly,Je suis si heureux que je mélève dans le ciel
i want that cat,Je veux ce chat
im not going to stop working,Je ne vais pas marrêter de travailler
bring the key,Emmène la clé
she asked him out on a date,Elle lui a demandé de sortir avec elle
i hope youre right,Jespère que vous avez raison
his wife is our italian teacher,Sa femme est notre professeur d’italien
moses came down from the mountain bearing divine commandments,Moïse descendit de la montagne en portant les commandements divins
do you know what the difference is,Saistu quelle est la différence
they will not pass,Ils ne passeront pas
i got it,Jai compris
im punctual,Je suis ponctuelle
this rule does not apply to the case,Cette règle ne sapplique pas à laffaire
theyre not expensive,Elles ne sont pas chères
you may eat as much as you want to,Vous pouvez manger autant que vous voulez
tom doesnt understand me,Tom ne me comprend pas
they took it by force,Ils lont pris de force
tom convinced mary,Tom persuada Marie
i cant stand to see animals be teased,Je ne supporte pas de voir des animaux être taquinés
unfortunately that wasnt the case,Malheureusement ce nétait pas le cas
the place is empty,Lendroit est vide
why dont you take a seat here,Pourquoi ne pas vous asseoir ici
tom told mary he had to leave early,Tom dit à Mary quil devait partir tôt
i have never read that book,Je nai jamais lu ce livre
were not going to answer any more questions,Nous nallons pas répondre à plus de questions
i hate mice,Je déteste les souris
she ignored him all day,Elle la ignoré toute la journée
i cant believe we finally made it,Je narrive pas à croire que nous y avons finalement réussi
i never loved you,Je ne tai jamais aimé
you still havent told me where you live,Vous ne mavez pas encore dit où vous vivez
this is probably a real diamond,Cest probablement un diamant authentique
the letter was written by tom,La lettre a été écrite par Tom
i didnt think you were going to make it,Je ne pensais pas que tu y arriverais
youre very pretty,Tu es très jolie
i expect much of him,Jattends beaucoup de lui
his ideas never earned him a dime,Ses idées ne lui ont jamais valu un sou
we heard a loud explosion,Nous avons entendu une forte détonation
were going to leave tomorrow,Nous allons partir demain
hows your business going,Comment vont tes affaires
look back,Regarde derrière toi
i didnt want a party on my birthday,Je ne voulais pas faire de fête pour mon anniversaire
i have nothing in common with him,Je nai rien en commun avec lui
there was nothing there,Il ny avait rien làbas
do you think tom wants to eat now,Pensestu que Tom a envie de manger maintenant
the best parents of all are those who allow their children to follow their natural talents,Les meilleurs de tous les parents sont ceux qui permettent à leurs enfants de suivre leurs talents naturels
he had an operation on his left leg,Il a eu une opération à la jambe gauche
keep away from the dog,Restez éloignée du chien
i hope im not too late,Jespère ne pas être trop en retard
the bus arrived ten minutes behind time,Le bus arriva avec dix minutes de retard
the storm has gradually abated,La tempête sest peu à peu calmée
tom is making faces,Tom fait des grimaces
let me tell you something about myself,Laisse moi te dire quelque chose à mon sujet
the baby kept crying all night,Le bébé na pas arrêté de pleurer de la nuit
i wouldnt want you to get the wrong impression about me,Je naimerais pas que tu aies une mauvaise impression de moi
this movie is incredibly stupid,Ce film est incroyablement idiot
tom is as smart as you,Tom est aussi malin que toi
the town is beautiful,La bourgade est belle
were escaping,Nous sommes en train de nous échapper
the boy remained silent,Le garçon est resté silencieux
i just know that i dont want to be married to you,Je sais tout simplement que je ne veux pas être marié avec toi
i just want someone to talk to,Je veux juste quelquun à qui parler
i told him everything,Je lui ai tout dit
i was present at school yesterday,Jétais présent à lécole hier
ive always hated biology,Jai toujours détesté la biologie
i dont speak french or german,Je ne parle ni le français ni lallemand
dont ask me to do that,Ne me demande pas de faire ça
its a legitimate worry,Cest une inquiétude justifiée
she was washing the dishes then,Pendant ce temps elle lavait la vaisselle
that classroom is too small,Cette salle de classe est trop petite
she suddenly kissed me,Elle membrassa subitement
just between you and me do you love my sister,Juste entre toi et moi aimestu ma sœur
do you have any advice for me,Astu quelques conseils pour moi
do you still want me to give tom your old computer,Veuxtu toujours que je donne ton ancien ordinateur à Tom
i was feeling nervous,Jétais nerveux
are you sure you know what to do,Êtesvous sûr de savoir ce quil faut faire
i know you dont want to talk about what happened,Je sais que vous ne voulez pas parler de ce qui sest passé
i dont like any of these hats,Je naime aucun de ces chapeaux
you cant charge that much,Vous ne pouvez pas exiger autant dargent
you sort of hinted that you wanted me to ask you out,Vous avez insinué à demimot que vous vouliez que je vous invite à sortir
please dont go away,Sil vous plaît ne partez pas
tom seems reasonable,Tom semble raisonnable
he banged his knee,Il se cogna le genou
i slept all day yesterday because it was sunday,Jai dormi toute la journée hier parce que cétait dimanche
were you looking at him,Le regardaistu
what happens if you press this button,Que se passetil si vous appuyez sur ce bouton
buy low sell high,Achète bas vends haut
if he had been a little more careful the accident would have been avoided,Sil avait été un tant soit peu plus prudent laccident aurait été évité
im trying to be happy,Jessaye dêtre heureuse
socially awkward children are more susceptible to bullying,Les enfants mal à laise socialement sont plus susceptibles de subir des brimades
some people think its a bad idea,Certaines personnes pensent que cest une mauvaise idée
i called earlier,Jai appelé plus tôt
i really had a good time,Jai vraiment passé un bon moment
it doesnt make much sense to me but tom has decided not to go to college,Cela nest pas très logique à mes yeux mais Tom a décidé de ne pas aller à luniversité
everyone has a right to live,Tout le monde a le droit de vivre
do you really want to win,Veuxtu vraiment lemporter
i was wrong,Jai eu tort
dont be such a fool,Ne sois pas si idiot
nobodys forcing you to do anything,Personne ne vous force à faire quoi que ce soit
as soon as he saw me he ran away,Dès quil ma vu il sest enfui
his teeth were white,Ses dents furent blanches
i want you to be quiet,Je veux que tu sois silencieux
get out of here immediately,Sortez dici tout de suite
im not the type that gives up so easily,Je ne suis pas du genre à abandonner si facilement
i feel good after exercising,Je me sens bien après la gym
are you tired no not at all,« Tu es fatigué  » « Non absolument pas »
i mean no harm,Je nai pas de mauvaise intention
the house was surrounded by fields,La maison est entourée de champs
i need someone to hold me and tell me everything will be alright,Jai besoin de quelquun qui me prenne dans ses bras et me dise que tout se passera bien
you cheated,Vous avez triché
im too hungry to study,Jai trop faim pour étudier
i love the people in this town,Jaime les gens dans cette ville
tom forgot to lock the front door,Tom a oublié de verrouiller la porte dentrée
id never let you do that,Je ne vous laisserais jamais faire cela
theyre not my prisoners,Ce ne sont pas mes prisonniers
we kept together for safety,Nous restâmes ensemble par mesure de sécurité
tom told me he was depressed,Tom ma dit quil était déprimé
i just heard something,Je viens dentendre quelque chose
i appreciate how you feel,Je sais ce que tu ressens
get down from there,Descendez de là
i was a shy child,Jétais une enfant timide
i hope he wont be disappointed,Jespère quil ne sera pas déçu
i dont have the address with me,Je nai pas ladresse sur moi
is your mother at home,Ta mère estelle à la maison
tell me the story,Racontemoi lhistoire
i must go out,Je dois sortir
i am able to swim across the river,Je suis en mesure de traverser la rivière à la nage
why limit yourself to just one,Pourquoi te limiter à un seul
you arent tom,Tu nes pas Tom
he is a bad driver,Il est mauvais conducteur
there was no taxi so i had to walk home,Il ny avait pas de taxis alors je dus marcher jusquà chez moi
were quite certain of that,Nous en sommes pour ainsi dire certaines
i did that voluntarily,Jai fait ça volontairement
its the first thing that my father wrote,Cest la première chose que mon père écrivit
when will you leave,Quand parstu
they burned all the documents,Ils brûlèrent tous les documents
many people go to church on christmas,Beaucoup de gens vont à léglise à Noël
why should i give you that,Pourquoi devraisje vous donner cela
tom is good at telling stories,Tom est doué pour raconter des histoires
i was delayed by a traffic jam,Jai été retardé par un bouchon
i sure am glad you werent hurt,Je me réjouis certainement que tu naies pas été blessé
its for my science project,Cest pour mon projet scientifique
you had better turn off the light before you go to sleep,Vous devriez éteindre la lumière avant daller dormir
i cant walk anymore,Je ne peux plus marcher
they want peace,Elles veulent la paix
how did you happen to see them doing it,Comment se faitil que tu les aies vus en train de le faire
he attributed the accident to the bad weather,Il attribua laccident au mauvais temps
he demanded that i should pay the money back at once,Il demanda que je le rembourse tout de suite
start again,Recommencez
thats very disappointing,Cest très décevant
i wish i had a roommate to hang out with,Jaimerais avoir un compagnon de chambrée pour passer le temps avec lui
hes a teacher and so am i,Il est professeur et moi aussi
do you believe me now,Me croistu maintenant
when did you finish writing the letter,Quand avezvous achevé décrire la lettre
tom looks hungry,Tom a lair affamé
im going to ask you to do your duty,Je vais vous demander de faire votre devoir
be more careful from now on,Soyez désormais plus prudente
i paid the bill,Jai payé laddition
its a really bad situation,Cest une situation vraiment mauvaise
only one man survived,Un seul homme survécut
weve got a great team,Nous avons une équipe épatante
ive done the same thing many times,Jai fait la même chose de nombreuses fois
drivers must look out for children crossing the road,Les conducteurs doivent faire attention aux enfants qui traversent la route
i know youre upset about your car being totaled but you werent injured and you should be thankful to be alive,Je sais que tu es contrarié que ta voiture soit bonne pour la casse mais tu nas pas été blessé et tu devrais être heureux dêtre en vie
parents are responsible for the safety of their children,Les parents sont responsables de la sécurité de leurs enfants
my arm still hurts,Mon bras me fait encore mal
he came back from america,Il revint dAmérique
i knew that tom was a bum,Je savais que Tom était un clochard
show me how much money you have,Montremoi combien dargent tu as
not all americans shared wilsons opinion,Tous les américains ne partageaient pas lavis de Wilson
he wants to study music and dance,Il veut étudier la musique et la danse
did tom hurt you,Tom ta fait du mal
theyre smiling at each other,Elles se sourient
i can open the window,Je peux ouvrir la fenêtre
there is no plane on the runway,Il ny a pas davion sur la piste
last week my mother came down with the flu,La semaine dernière ma mère a attrapé la grippe
i dont know how ive offended you,Jignore comment je tai offensée
all of you did good work,Vous avez tous fait du bon travail
you really are good,Vous êtes vraiment bon
dont you want to be in love again,Ne veuxtu pas être à nouveau amoureux
he found the box under the table,Il trouva la boîte sous la table
have a nice weekend,Bon weekend
this is a matter of the utmost gravity,Cest une affaire de la plus haute gravité
thats logical,Cest logique
toms younger daughter is married,La fille cadette de Tom est mariée
zip up your coat,Ferme la fermeture de ton manteau
do all of you speak french,Parlezvous tous français
its time for you to tell me the whole truth,Il est temps pour toi de me raconter toute la vérité
did you make this,Avezvous fait ceci
ill be staying with my grandparents over christmas,Je vais rester chez mes grandsparents pour Noël
safety is not guaranteed,La sécurité nest pas assurée
did i say i was finished,Aije dit que javais terminé
i want to press charges,Je veux engager des poursuites
you have a lot of time,Tu as beaucoup de temps
he asked me where my uncle lived,Il ma demandé où vivait mon oncle
help me out here,Aidemoi à sortir de là
may i please have your telephone number,Pourraisje avoir votre numéro de téléphone sil vous plaît
maybe you dont know this but nobody could ever take your place,Peutêtre ne le saistu pas mais personne ne pourrait te remplacer
hell arrive within an hour,Il arrivera avant une heure
have you ever scolded your daughter,Avezvous jamais réprimandé votre fille
who said that,Qui a dit cela
wait until tomorrow morning,Attends jusquà demain matin
clearly that was a mistake,Clairement ce fut une erreur
you drive a hard bargain,Tes dur à cuire
i love trips,Jaime les voyages
you dont need to go unless you want to,Vous ne devez pas partir à moins que vous ne le souhaitiez
she lacks common sense,Elle na pas assez de bon sens
she called to tell him that shed be late,Elle lappela pour lui dire quelle serait en retard
we want peace,Nous voulons la paix
youre the expert,Cest vous lexperte
this is my fathers house,Cest la maison de mon père
thats exactly what i want you to do,Cest exactement ce que je veux que tu fasses
how often do you see your godparents,À quelle fréquence rendstu visite à tes parrain et marraine
tom lives in the same apartment building as mary does,Tom habite dans le même immeuble que Marie
i remember the day you were born very well,Je me souviens fort bien du jour de ta naissance
are you nervous,Êtesvous nerveuses
how many letters are there in the english alphabet,Combien y atil de lettres dans lalphabet anglais
pump up the tire,Gonflez le pneu
i didnt know that would happen,Jignorais que cela se produirait
so what happened to you anyway,Alors que testil arrivé en définitive
you cant just come in here and start ordering people around,Tu ne peux pas juste venir ici et commencer à donner des ordres aux gens alentour
mary said tom was in trouble,Mary a dit que Tom avait des ennuis
weve just spent two weeks apart,Nous venons de passer deux semaines séparées
have you lost your mind,Tu as perdu la tête
im always happy,Je suis toujours contente
im glad for this opportunity to work with you,Je suis content davoir lopportunité de travailler avec vous
i ate on the bus,Jai mangé dans le bus
im getting used to eating alone,Je mhabitue à manger seule
i dont want to live with you anymore,Je ne veux plus vivre avec toi
my wifes pregnant,Ma femme est enceinte
he dislikes unexpectedness and emergencies of any kind,Il naime pas limprévu et les urgences de toutes sortes
i didnt hear you come in,Je ne vous ai pas entendue entrer
i just dont know how to do it,Jignore simplement comment le faire
im used to tom now,Je suis habitué à Tom maintenant
in the early days of american history blacks lived in slavery,Au commencement de lhistoire américaine les noirs vivaient en esclavage
im waiting to see if its true,Jattends de voir si cest vrai
i think this is very rare,Je pense que cest très rare
we heard a noise in the bedroom,On entendait un bruit dans la chambre
i believe you know what i mean,Je crois que tu sais ce que je veux dire
may i go home,Puisje aller à la maison
